FilePath,Severity,Control name,Failed resources,All Resources,Compliance score
/system/ServiceAccount/manager/path=1460432023/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/manager-rolebinding/path=3916622812/api=rbac.authorization.k8s.io/v1//ClusterRole/manager-role,Medium,Roles with delete capabilities,176,862,79.58237
/system/ServiceAccount/default/path=2328894576/api=rbac.authorization.k8s.io/v1//ClusterRole/manager-role/path=2785400033/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/manager-rolebinding,Medium,Roles with delete capabilities,176,862,79.58237
/default/ServiceAccount/grafana-operator-controller-manager/path=3428148254/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/grafana-operator-permissions/path=3444925873/api=rbac.authorization.k8s.io/v1//ClusterRole/grafana-operator-permissions,Medium,Roles with delete capabilities,176,862,79.58237
/litmus/ServiceAccount/litmus-server-account/path=2806462200/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/litmus-admin-crb-for-litmusportal-server/path=2823239819/api=rbac.authorization.k8s.io/v1//ClusterRole/litmus-admin-cr-for-litmusportal-server,Medium,Roles with delete capabilities,176,862,79.58237
/system/ServiceAccount/default/path=2785400033/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/manager-rolebinding/path=3424571727/api=rbac.authorization.k8s.io/v1//ClusterRole/manager-role,Medium,Roles with delete capabilities,176,862,79.58237
/kadalu/ServiceAccount/kadalu-operator/path=1998265316/api=rbac.authorization.k8s.io/v1/kadalu/RoleBinding/kadalu-operator/path=4105774841/api=rbac.authorization.k8s.io/v1/kadalu/Role/kadalu-operator,Medium,Roles with delete capabilities,176,862,79.58237
/argocd/ServiceAccount/argocd-application-controller/path=951736433/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/argocd-application-controller/path=981785430/api=rbac.authorization.k8s.io/v1//ClusterRole/argocd-application-controller,Medium,Roles with delete capabilities,176,862,79.58237
//ServiceAccount/litmus-namespace-scope/path=3328666716/api=rbac.authorization.k8s.io/v1//Role/litmus-namespace-scope/path=3378999573/api=rbac.authorization.k8s.io/v1//RoleBinding/litmus-namespace-scope,Medium,Roles with delete capabilities,176,862,79.58237
/mongodb/ServiceAccount/mongodb-enterprise-appdb/path=3434770804/api=rbac.authorization.k8s.io/v1/mongodb/RoleBinding/mongodb-enterprise-appdb/path=3612683216/api=rbac.authorization.k8s.io/v1/mongodb/Role/mongodb-enterprise-appdb,Medium,Roles with delete capabilities,176,862,79.58237
/system/ServiceAccount/default/path=1361336998/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/manager-rolebinding/path=3439773797/api=rbac.authorization.k8s.io/v1//ClusterRole/manager-role,Medium,Roles with delete capabilities,176,862,79.58237
/litmus/ServiceAccount/litmus-server-account/path=2907127914/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/litmus-cluster-scope-crb-for-litmusportal-server/path=2923905533/api=rbac.authorization.k8s.io/v1//ClusterRole/litmus-cluster-scope-for-litmusportal-server,Medium,Roles with delete capabilities,176,862,79.58237
//ServiceAccount//path=648673146/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/subscriber-cluster-role-binding/path=665450765/api=rbac.authorization.k8s.io/v1//ClusterRole/subscriber-cluster-role,Medium,Roles with delete capabilities,176,862,79.58237
/longhorn-system/ServiceAccount/longhorn-service-account/path=2427764368/api=rbac.authorization.k8s.io/v1//ClusterRole/longhorn-role/path=330414898/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/longhorn-bind,Medium,Roles with delete capabilities,176,862,79.58237
/mongodb/ServiceAccount/mongodb-enterprise-operator/path=3250216995/api=rbac.authorization.k8s.io/v1/mongodb/RoleBinding/mongodb-enterprise-operator/path=3334105090/api=rbac.authorization.k8s.io/v1/mongodb/Role/mongodb-enterprise-operator,Medium,Roles with delete capabilities,176,862,79.58237
/system/ServiceAccount/manager/path=1460432023/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/manager-rolebinding/path=961442685/api=rbac.authorization.k8s.io/v1//ClusterRole/manager-role,Medium,Roles with delete capabilities,176,862,79.58237
/mongodb/ServiceAccount/mongodb-enterprise-operator-multi-cluster/path=1420366942/api=rbac.authorization.k8s.io/v1//ClusterRole/mongodb-enterprise-operator-mongodb-webhook/path=1437144561/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/mongodb-enterprise-operator-multi-cluster-mongodb-webhook-binding,Medium,Roles with delete capabilities,176,862,79.58237
/litmus/ServiceAccount/litmus-server-account/path=2840017438/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/chaos-crb-for-litmusportal-server/path=2856795057/api=rbac.authorization.k8s.io/v1//ClusterRole/chaos-cr-for-litmusportal-server,Medium,Roles with delete capabilities,176,862,79.58237
